Construction Type,Building Area (sq ft),Number of Floors,Number of Rooms,Number of Bathrooms,Flooring Type,Ceiling Height,Roof Type,Foundation Type,Company,Labor Charges,Bid Amount,Project Duration (Months)
Industrial,4304,7,9,2,Carpet,12,Pitched,Basement,Company A,45881,455669,33
Residential,3317,7,2,4,Wood,12,Flat,Basement,Company A,28681,158225,17
Residential,3197,3,13,4,Wood,14,Flat,Crawl Space,Company D,42340,260776,30
Industrial,1949,2,3,2,Carpet,10,Pitched,Crawl Space,Company A,28590,107039,26
Commercial,4180,1,7,2,Wood,10,Pitched,Slab,Company A,6232,155824,21
Commercial,2678,9,14,4,Tile,8,Pitched,Slab,Company B,29214,442534,23
Residential,2053,3,14,1,Tile,13,Gabled,Slab,Company B,16340,476626,22
Commercial,2283,9,10,2,Tile,9,Flat,Basement,Company D,27670,495151,16
Commercial,1109,4,8,2,Carpet,14,Flat,Basement,Company D,47484,137304,14
Commercial,4752,6,5,4,Wood,10,Flat,Slab,Company B,13251,174587,26
Residential,3849,7,5,4,Tile,14,Gabled,Slab,Company D,44231,253880,8
Industrial,2364,6,5,4,Carpet,9,Flat,Basement,Company B,26377,313430,9
Commercial,2300,1,4,1,Wood,9,Pitched,Basement,Company B,44075,148014,22
Residential,815,6,9,4,Wood,10,Gabled,Crawl Space,Company C,18526,300463,34
Residential,1405,6,6,1,Tile,8,Flat,Slab,Company D,32393,446383,13
Industrial,2181,5,13,4,Wood,13,Gabled,Basement,Company A,30463,118773,22
Commercial,4183,3,12,4,Wood,14,Gabled,Crawl Space,Company B,27276,263676,10
Commercial,1694,3,13,1,Tile,9,Pitched,Crawl Space,Company C,28591,180471,21
Industrial,2367,7,8,3,Tile,8,Gabled,Basement,Company C,33623,380022,22
Industrial,1213,8,8,2,Wood,8,Pitched,Basement,Company B,18350,369349,13
Residential,4920,3,5,4,Carpet,13,Pitched,Crawl Space,Company D,13866,364214,26
Residential,2804,3,12,3,Carpet,10,Flat,Crawl Space,Company B,39744,479480,17
Industrial,1115,7,9,1,Tile,13,Pitched,Basement,Company D,46121,281283,20
Commercial,3855,7,2,4,Wood,14,Flat,Slab,Company B,37658,174161,10
Residential,2649,9,14,1,Tile,9,Flat,Slab,Company B,43617,377388,28
Residential,2753,6,8,1,Carpet,8,Flat,Slab,Company C,34481,493056,27
Commercial,1188,7,3,1,Carpet,9,Pitched,Slab,Company A,15090,322824,15
Residential,3569,1,7,3,Wood,14,Flat,Slab,Company A,48024,458393,20
Commercial,3846,7,13,1,Tile,14,Pitched,Slab,Company C,34808,269325,14
Commercial,3215,2,9,2,Tile,8,Pitched,Slab,Company D,7082,109091,20
Commercial,3189,7,14,4,Carpet,10,Flat,Basement,Company B,30803,451860,20
Industrial,1103,3,11,4,Tile,14,Pitched,Crawl Space,Company D,10282,275907,21
Industrial,1563,9,5,2,Tile,8,Flat,Crawl Space,Company A,9452,421982,32
Industrial,2773,5,11,4,Tile,10,Flat,Crawl Space,Company D,14651,134515,32
Commercial,1615,7,8,2,Wood,10,Flat,Crawl Space,Company B,39889,410748,29
Commercial,1677,8,4,3,Carpet,9,Gabled,Slab,Company A,28338,203374,13
Industrial,3126,2,14,1,Tile,9,Pitched,Basement,Company D,27643,145949,24
Residential,3229,1,1,3,Wood,13,Gabled,Crawl Space,Company D,43324,376789,18
Commercial,2860,7,1,2,Tile,9,Gabled,Slab,Company D,37194,292590,19
Residential,2379,6,6,1,Tile,11,Pitched,Slab,Company A,14409,154732,8
Residential,3001,6,8,3,Carpet,9,Pitched,Slab,Company A,29482,168237,10
Commercial,4397,2,10,1,Wood,9,Flat,Basement,Company D,6489,356382,29
Commercial,2003,3,2,1,Tile,13,Gabled,Basement,Company C,6690,127195,36
Residential,3224,4,11,3,Carpet,8,Pitched,Basement,Company B,16760,443355,24
Residential,4675,3,4,4,Wood,13,Flat,Crawl Space,Company A,9843,389216,8
Industrial,3623,2,3,2,Tile,11,Pitched,Crawl Space,Company A,41506,101600,21
Industrial,4085,3,13,3,Carpet,11,Pitched,Basement,Company A,17261,235070,13
Commercial,2863,6,9,3,Tile,14,Flat,Basement,Company B,46407,154134,35
Industrial,2779,9,3,4,Tile,8,Pitched,Basement,Company A,44718,113280,9
Industrial,3931,4,11,2,Wood,9,Flat,Basement,Company C,14403,492558,17
Industrial,3892,6,8,3,Carpet,13,Gabled,Slab,Company A,25688,449888,33
Industrial,4464,1,14,1,Wood,14,Flat,Crawl Space,Company A,47056,307973,21
Residential,3136,6,7,2,Tile,12,Pitched,Slab,Company C,37863,180102,22
Commercial,4414,3,1,4,Carpet,10,Gabled,Crawl Space,Company B,28531,431157,10
Industrial,1297,9,8,3,Tile,11,Gabled,Slab,Company B,48853,248604,20
Residential,4617,4,9,1,Tile,14,Flat,Slab,Company A,20363,271478,10
Residential,931,7,8,2,Tile,8,Flat,Slab,Company B,25530,365153,25
Residential,1657,4,10,3,Carpet,14,Flat,Basement,Company C,42426,484341,21
Industrial,1320,6,10,2,Tile,12,Gabled,Slab,Company B,29527,172136,11
Industrial,829,7,1,1,Carpet,10,Flat,Slab,Company A,33451,118435,9
Commercial,4196,2,11,1,Tile,12,Pitched,Basement,Company C,32928,472081,28
Industrial,2060,6,13,2,Wood,9,Gabled,Basement,Company A,22225,493432,36
Industrial,2358,8,11,1,Carpet,8,Flat,Crawl Space,Company C,29132,441198,13
Residential,815,6,7,1,Tile,10,Gabled,Slab,Company C,35568,148743,16
Commercial,4405,2,13,2,Wood,10,Pitched,Crawl Space,Company A,34558,433530,16
Industrial,2407,4,9,2,Carpet,9,Pitched,Crawl Space,Company A,26526,167500,16
Industrial,4317,1,14,4,Wood,9,Pitched,Slab,Company B,42349,172037,22
Residential,2816,7,5,3,Tile,9,Flat,Crawl Space,Company D,37269,424829,33
Residential,4374,8,2,4,Wood,8,Flat,Basement,Company B,8763,311622,17
Industrial,2543,2,14,4,Tile,11,Gabled,Basement,Company A,29662,266236,19
Commercial,4591,5,8,4,Tile,12,Flat,Slab,Company A,47031,105885,36
Commercial,4434,8,9,4,Carpet,8,Gabled,Crawl Space,Company B,27328,397220,13
Residential,1888,8,7,3,Tile,8,Flat,Slab,Company D,26152,366577,35
Residential,2161,5,12,2,Tile,12,Pitched,Basement,Company D,8877,466169,25
Industrial,4172,8,13,1,Carpet,14,Flat,Slab,Company A,40264,402902,32
Residential,1275,6,5,1,Carpet,10,Flat,Basement,Company D,40866,461217,30
Industrial,2089,5,8,2,Tile,14,Flat,Basement,Company C,17762,488958,23
Commercial,1128,4,6,2,Tile,12,Pitched,Basement,Company B,27009,218680,7
Commercial,4844,5,12,2,Carpet,9,Gabled,Crawl Space,Company D,46767,242588,8
Industrial,2639,4,4,1,Carpet,10,Flat,Crawl Space,Company D,42016,301816,16
Residential,1986,1,1,4,Wood,14,Pitched,Crawl Space,Company B,40314,491327,27
Commercial,4214,3,6,4,Wood,8,Flat,Crawl Space,Company C,32460,370777,25
Residential,4336,8,8,4,Wood,12,Flat,Basement,Company D,17989,467283,10
Commercial,2573,7,3,3,Carpet,8,Pitched,Basement,Company C,5078,394089,13
Industrial,2863,7,12,4,Carpet,14,Flat,Basement,Company A,49077,254044,12
Industrial,2644,3,7,3,Carpet,13,Flat,Crawl Space,Company A,23853,376683,36
Industrial,3358,9,13,1,Wood,8,Flat,Slab,Company C,20932,482653,13
Commercial,2062,6,12,3,Tile,12,Flat,Slab,Company C,41432,240302,24
Residential,4091,8,7,2,Tile,13,Flat,Crawl Space,Company B,12440,286890,16
Residential,1818,8,9,2,Tile,13,Pitched,Crawl Space,Company B,19895,201933,23
Residential,2589,3,1,1,Carpet,13,Pitched,Crawl Space,Company B,42393,121574,27
Commercial,4324,4,5,4,Tile,8,Flat,Crawl Space,Company D,44971,414839,21
Commercial,4304,6,8,1,Tile,11,Flat,Basement,Company A,12989,313374,24
Commercial,1606,2,13,2,Carpet,11,Gabled,Crawl Space,Company B,39690,328765,20
Commercial,3466,7,13,4,Carpet,8,Pitched,Basement,Company D,42976,107565,34
Commercial,1204,2,3,2,Carpet,10,Flat,Crawl Space,Company D,42740,355225,20
Residential,1393,5,5,1,Carpet,10,Gabled,Basement,Company C,12827,355015,33
Commercial,4749,4,14,4,Carpet,10,Pitched,Basement,Company B,36331,385046,34
Commercial,4907,9,1,1,Wood,10,Gabled,Basement,Company C,19366,231909,22
Residential,4080,2,9,2,Carpet,11,Gabled,Crawl Space,Company C,20380,161361,20
Commercial,3012,7,4,4,Tile,14,Flat,Basement,Company D,23788,251597,13
Residential,2342,7,5,2,Tile,10,Flat,Crawl Space,Company A,40557,362215,16
Residential,1413,7,3,4,Wood,12,Pitched,Basement,Company D,22592,309699,8
Industrial,1668,1,14,3,Carpet,10,Gabled,Basement,Company D,28204,200663,18
Industrial,1611,8,2,3,Tile,12,Gabled,Crawl Space,Company D,48776,210219,11
Industrial,2622,2,12,2,Tile,11,Flat,Slab,Company A,29120,157932,14
Industrial,4977,5,14,1,Carpet,12,Pitched,Crawl Space,Company B,13502,218034,28
Commercial,2544,2,7,3,Wood,13,Flat,Slab,Company D,45606,341675,25
Industrial,3056,5,11,3,Carpet,12,Pitched,Crawl Space,Company D,44446,481215,34
Residential,4842,7,5,4,Carpet,8,Gabled,Basement,Company B,48376,246929,27
Commercial,4467,6,11,4,Carpet,12,Pitched,Crawl Space,Company B,17618,211141,21
Industrial,1321,5,10,4,Carpet,13,Gabled,Slab,Company D,26478,489564,31
Residential,2325,4,14,2,Carpet,8,Pitched,Basement,Company A,24247,435397,30
Commercial,2269,8,3,1,Wood,13,Flat,Crawl Space,Company C,34028,360304,17
Commercial,3475,8,2,1,Tile,10,Flat,Crawl Space,Company C,8974,487581,22
Industrial,2313,1,10,4,Carpet,12,Flat,Basement,Company D,32265,207343,36
Commercial,2251,2,6,2,Tile,14,Pitched,Slab,Company A,25730,427179,7
Residential,4230,3,10,4,Tile,12,Gabled,Crawl Space,Company B,21096,462852,6
Commercial,3807,1,6,1,Carpet,9,Flat,Slab,Company A,21679,180941,21
Residential,3924,3,3,2,Tile,10,Pitched,Crawl Space,Company C,44270,407023,10
Commercial,2553,8,13,4,Carpet,12,Pitched,Crawl Space,Company A,21329,441572,26
Industrial,2412,4,9,4,Carpet,12,Flat,Crawl Space,Company D,17921,171623,22
Residential,4075,7,1,1,Carpet,9,Flat,Slab,Company A,31922,130278,32
Commercial,1355,7,3,2,Wood,8,Flat,Basement,Company C,39656,171416,36
Commercial,2849,5,13,1,Carpet,10,Flat,Crawl Space,Company D,18012,245626,22
Commercial,1624,1,1,2,Carpet,9,Pitched,Basement,Company D,30549,295865,29
Residential,3649,4,7,2,Tile,10,Gabled,Crawl Space,Company A,42425,237292,13
Residential,3830,7,2,4,Wood,10,Gabled,Crawl Space,Company D,28131,310146,20
Residential,1881,5,11,1,Tile,8,Pitched,Slab,Company A,30609,285232,34
Industrial,4125,2,11,2,Tile,8,Gabled,Basement,Company A,43871,145437,17
Industrial,1292,8,12,3,Carpet,11,Pitched,Basement,Company B,16651,235046,22
Residential,874,2,4,4,Wood,9,Pitched,Slab,Company C,18341,230504,15
Commercial,3791,8,4,1,Wood,13,Pitched,Basement,Company B,31068,426249,31
Industrial,4160,2,14,2,Carpet,9,Gabled,Crawl Space,Company C,31773,368233,17
Residential,1170,5,13,4,Wood,14,Pitched,Crawl Space,Company C,18000,222943,33
Commercial,1128,4,8,1,Carpet,10,Pitched,Basement,Company D,29872,452108,33
Industrial,2590,1,11,1,Wood,11,Flat,Basement,Company C,6512,349980,28
Commercial,1576,8,4,4,Wood,11,Flat,Basement,Company A,33303,403990,25
Commercial,2822,3,3,2,Carpet,14,Gabled,Slab,Company B,20287,223641,22
Commercial,1987,4,10,4,Wood,10,Flat,Basement,Company D,11628,314501,25
Commercial,2303,4,12,3,Wood,8,Flat,Basement,Company D,30156,238292,17
Industrial,4091,5,3,4,Wood,11,Flat,Crawl Space,Company C,30229,345796,13
Industrial,4125,3,5,1,Tile,9,Pitched,Slab,Company B,38805,237740,32
Industrial,987,9,6,3,Carpet,8,Flat,Basement,Company B,16023,260327,23
Residential,2014,4,7,3,Tile,12,Gabled,Basement,Company B,19890,312456,20
Industrial,4086,4,13,2,Wood,11,Pitched,Slab,Company D,6603,326099,14
Commercial,4246,6,5,4,Wood,10,Gabled,Crawl Space,Company B,32390,183913,28
Industrial,1909,8,7,2,Tile,9,Gabled,Slab,Company A,42796,429376,26
Commercial,3321,7,4,4,Wood,14,Gabled,Crawl Space,Company A,28181,395268,19
Residential,4679,4,5,1,Wood,11,Gabled,Basement,Company C,46046,166451,13
Commercial,1330,4,6,2,Carpet,10,Gabled,Basement,Company C,14032,291299,19
Commercial,1870,5,9,1,Wood,9,Flat,Slab,Company A,26578,369696,32
Commercial,3936,5,6,1,Carpet,11,Flat,Basement,Company C,45923,241810,16
Residential,1762,1,10,3,Carpet,9,Gabled,Slab,Company D,27482,114546,18
Industrial,2205,8,14,2,Tile,12,Gabled,Slab,Company A,43702,311415,12
Industrial,3937,5,11,4,Tile,14,Flat,Slab,Company D,49641,436060,16
Residential,1316,3,1,2,Wood,14,Gabled,Basement,Company B,27667,450389,30
Commercial,3964,3,12,1,Tile,14,Flat,Crawl Space,Company D,25610,181141,31
Industrial,2291,4,11,3,Carpet,9,Gabled,Basement,Company B,10021,487950,36
Residential,4489,7,7,2,Tile,14,Gabled,Crawl Space,Company A,45121,287722,17
Industrial,1390,5,14,3,Carpet,14,Pitched,Crawl Space,Company C,47350,291701,16
Residential,2343,1,11,3,Tile,10,Gabled,Crawl Space,Company C,24629,264343,11
Commercial,3856,5,13,1,Wood,11,Pitched,Basement,Company A,34538,361284,14
Industrial,3006,5,11,2,Tile,10,Gabled,Crawl Space,Company D,16790,421218,16
Residential,4139,6,3,2,Wood,12,Pitched,Basement,Company A,14002,451312,6
Industrial,3508,7,6,2,Tile,13,Flat,Basement,Company B,11549,133007,24
Industrial,4829,5,2,3,Carpet,8,Gabled,Slab,Company C,16100,190107,21
Industrial,1547,2,14,4,Tile,9,Flat,Basement,Company B,49070,472222,22
Industrial,1600,2,12,2,Tile,10,Pitched,Basement,Company A,5230,140231,25
Residential,2297,4,7,1,Carpet,13,Pitched,Basement,Company C,32110,414259,12
Commercial,2179,1,1,3,Carpet,11,Pitched,Basement,Company B,26456,309954,6
Residential,1479,7,13,4,Tile,11,Pitched,Crawl Space,Company C,10443,296843,18
Residential,4570,1,2,2,Carpet,8,Flat,Crawl Space,Company C,25536,377415,20
Residential,4142,3,9,4,Carpet,11,Pitched,Basement,Company A,7101,492526,8
Commercial,1696,7,9,3,Tile,14,Gabled,Basement,Company B,15660,418154,9
Industrial,2346,6,7,4,Wood,12,Pitched,Slab,Company A,9041,294700,36
Industrial,3926,7,2,3,Tile,8,Flat,Crawl Space,Company D,31577,192249,36
Industrial,1483,5,5,4,Tile,12,Flat,Basement,Company B,16675,444214,35
Commercial,2095,8,4,4,Wood,9,Gabled,Slab,Company A,15669,105607,8
Industrial,2185,6,2,3,Tile,12,Flat,Slab,Company A,15686,308140,14
Commercial,1742,4,2,4,Tile,9,Pitched,Basement,Company D,14634,457423,32
Industrial,4080,1,10,1,Carpet,12,Gabled,Slab,Company A,15098,180433,20
Industrial,1833,2,8,2,Tile,8,Gabled,Slab,Company D,8284,118895,11
Residential,3586,6,5,4,Wood,9,Flat,Slab,Company B,41409,174860,31
Commercial,3033,4,8,4,Wood,13,Gabled,Crawl Space,Company D,12896,171757,11
Residential,4445,3,2,4,Carpet,12,Pitched,Slab,Company D,24084,167559,30
Residential,2420,7,2,2,Tile,12,Pitched,Slab,Company A,49933,278172,35
Residential,4335,7,11,3,Tile,11,Flat,Basement,Company C,40628,444627,13
Commercial,4005,2,11,2,Tile,14,Pitched,Basement,Company A,29708,189971,27
Commercial,3682,8,3,4,Tile,12,Pitched,Crawl Space,Company C,12333,285063,29
Industrial,970,1,11,3,Wood,11,Flat,Basement,Company B,36659,124412,20
Residential,2353,7,10,4,Wood,12,Pitched,Crawl Space,Company C,23456,200571,30
Industrial,4697,1,8,3,Carpet,10,Flat,Slab,Company D,36703,289978,32
Residential,2395,3,8,4,Tile,11,Flat,Slab,Company C,12566,180460,17
Commercial,2423,3,3,4,Wood,8,Flat,Slab,Company C,8916,323042,18
Commercial,4922,2,1,3,Tile,8,Gabled,Basement,Company D,37815,126726,25
Commercial,1891,5,7,1,Wood,9,Pitched,Crawl Space,Company C,27579,372741,10
Residential,3637,4,4,2,Wood,13,Pitched,Basement,Company C,39875,215396,11
Commercial,1207,6,3,3,Carpet,13,Pitched,Basement,Company B,11616,154074,12
Residential,4969,2,5,2,Tile,8,Flat,Crawl Space,Company B,13982,342511,31
Industrial,1479,4,12,1,Carpet,9,Flat,Crawl Space,Company B,26956,178494,10
Residential,1036,7,6,1,Carpet,8,Pitched,Crawl Space,Company D,6877,158965,33
Industrial,3574,1,14,3,Carpet,11,Pitched,Slab,Company B,8861,182818,10
Residential,4237,3,1,1,Carpet,10,Pitched,Basement,Company B,20896,102884,34
Industrial,4157,1,12,1,Carpet,9,Pitched,Basement,Company D,34934,385890,15
Commercial,3677,2,12,4,Carpet,10,Gabled,Slab,Company D,48071,316398,10
Industrial,3223,9,9,4,Carpet,12,Flat,Crawl Space,Company D,37259,175489,32
Commercial,3947,5,6,1,Tile,12,Gabled,Basement,Company D,35515,488366,12
Commercial,1832,4,3,4,Carpet,10,Pitched,Slab,Company B,35260,260332,19
Industrial,3654,4,1,1,Tile,11,Flat,Basement,Company A,33185,162461,31
Residential,3740,8,13,4,Tile,10,Gabled,Basement,Company C,42475,383617,20
Residential,4501,3,9,1,Wood,10,Gabled,Basement,Company B,47702,308017,31
Residential,4870,4,2,1,Carpet,10,Flat,Crawl Space,Company A,20266,257705,24
Residential,3932,2,14,2,Tile,9,Gabled,Crawl Space,Company B,9069,329023,36
Residential,4260,6,10,1,Wood,14,Pitched,Basement,Company B,28258,460063,15
Commercial,2723,9,6,2,Wood,9,Gabled,Crawl Space,Company D,8489,278845,29
Residential,1433,4,6,3,Carpet,14,Gabled,Slab,Company A,42435,397395,15
Commercial,4903,6,12,1,Carpet,10,Pitched,Slab,Company B,40381,432797,25
Commercial,2192,4,3,1,Carpet,13,Pitched,Basement,Company C,11910,301950,19
Commercial,4246,2,11,2,Carpet,11,Gabled,Slab,Company D,32034,439256,36
Industrial,3898,6,6,1,Tile,12,Pitched,Crawl Space,Company C,29596,497997,9
Industrial,861,7,14,4,Tile,12,Flat,Crawl Space,Company A,33339,425634,19
Commercial,3269,4,2,2,Carpet,12,Flat,Slab,Company B,26986,371166,11
Industrial,2617,7,8,2,Carpet,8,Pitched,Basement,Company C,47137,416331,20
Residential,1432,8,13,4,Tile,11,Pitched,Slab,Company A,18302,490724,29
Residential,3398,3,1,1,Carpet,9,Flat,Crawl Space,Company D,33302,320769,35
Commercial,4251,2,6,3,Wood,12,Flat,Basement,Company C,27532,119917,14
Residential,2100,5,14,3,Tile,9,Gabled,Crawl Space,Company A,27489,403996,6
Commercial,3453,2,1,3,Wood,9,Gabled,Basement,Company A,7720,124886,23
Commercial,2254,5,9,2,Wood,9,Gabled,Basement,Company C,32544,208601,20
Residential,1938,6,13,2,Wood,13,Gabled,Basement,Company B,11776,289412,20
Industrial,3992,8,13,4,Wood,9,Flat,Crawl Space,Company A,16984,367270,31
Residential,3010,6,9,1,Carpet,10,Flat,Basement,Company C,24115,206190,11
Residential,4559,4,6,4,Carpet,9,Flat,Basement,Company D,26267,239026,20
Commercial,3829,3,6,2,Carpet,8,Pitched,Slab,Company C,24062,295445,32
Commercial,2160,2,9,3,Carpet,9,Flat,Slab,Company C,13711,112368,12
Commercial,3226,1,14,1,Tile,12,Pitched,Crawl Space,Company A,11994,223311,19
Commercial,863,2,5,3,Carpet,9,Pitched,Basement,Company D,33735,324487,32
Industrial,2145,2,9,1,Tile,12,Pitched,Slab,Company B,14884,461932,15
Industrial,1774,5,5,3,Wood,9,Gabled,Crawl Space,Company C,16695,278360,26
Industrial,4961,9,14,1,Tile,11,Pitched,Basement,Company D,7631,496692,17
Commercial,4428,1,14,3,Carpet,10,Flat,Crawl Space,Company D,29590,439562,10
Commercial,2422,4,4,4,Wood,12,Flat,Basement,Company C,18635,171424,27
Commercial,1257,7,2,2,Wood,8,Flat,Slab,Company A,6342,172529,11
Industrial,4130,3,2,4,Carpet,9,Flat,Basement,Company B,31714,198583,9
Commercial,2540,8,13,3,Wood,12,Flat,Slab,Company A,16173,320861,19
Residential,3826,3,1,1,Wood,13,Flat,Basement,Company B,49300,480851,15
Residential,2754,8,10,4,Wood,14,Pitched,Basement,Company D,6503,187322,12
Commercial,1079,2,14,3,Tile,10,Flat,Slab,Company D,8170,244194,33
Residential,3191,5,3,2,Wood,13,Pitched,Slab,Company A,15227,102676,14
Residential,1840,4,1,1,Wood,9,Gabled,Slab,Company B,43255,423587,21
Industrial,1761,9,13,4,Tile,10,Flat,Crawl Space,Company C,47285,398412,19
Commercial,4645,3,6,2,Carpet,8,Gabled,Slab,Company A,43921,441376,7
Commercial,2017,5,14,3,Tile,12,Gabled,Basement,Company B,10558,227200,29
Industrial,4020,9,11,1,Tile,8,Gabled,Crawl Space,Company C,49566,335563,15
Residential,1174,6,13,3,Carpet,10,Flat,Crawl Space,Company C,44190,280844,15
Residential,4930,2,7,1,Carpet,11,Pitched,Crawl Space,Company B,9011,159225,11
Commercial,2192,1,9,2,Tile,11,Gabled,Crawl Space,Company D,38283,355904,8
Residential,2876,1,14,2,Wood,13,Flat,Slab,Company A,13605,104529,35
Industrial,1574,7,7,2,Carpet,14,Pitched,Basement,Company C,17512,377636,7
Industrial,4224,2,4,4,Wood,12,Gabled,Basement,Company D,30839,486940,31
Commercial,2923,7,14,4,Carpet,9,Flat,Crawl Space,Company B,29295,196988,35
Industrial,4393,1,4,4,Wood,13,Pitched,Crawl Space,Company A,42772,342186,15
Industrial,1079,4,8,3,Tile,8,Pitched,Slab,Company C,10237,414498,11
Commercial,3611,4,4,4,Tile,11,Flat,Basement,Company D,29081,463805,27
Industrial,3142,5,1,1,Tile,11,Gabled,Slab,Company B,9511,227440,26
Industrial,2274,1,9,2,Tile,9,Flat,Crawl Space,Company D,25896,187725,25
Industrial,2657,7,3,3,Carpet,8,Gabled,Crawl Space,Company C,44737,146813,30
Residential,3689,2,14,3,Tile,10,Flat,Crawl Space,Company A,43598,406320,7
Commercial,1859,2,1,4,Wood,13,Pitched,Basement,Company A,25365,182086,9
Commercial,2722,8,9,1,Tile,11,Pitched,Basement,Company C,23023,383727,6
Commercial,4599,9,11,2,Tile,12,Pitched,Crawl Space,Company A,35831,175201,17
Residential,3273,6,11,3,Tile,12,Pitched,Basement,Company A,18325,419041,15
Residential,4939,1,14,2,Tile,10,Pitched,Crawl Space,Company D,49809,148599,33
Commercial,2651,1,13,1,Carpet,9,Flat,Basement,Company B,47938,208164,9
Residential,4341,7,10,2,Carpet,9,Flat,Basement,Company C,16763,423235,17
Commercial,1394,8,14,4,Carpet,13,Flat,Crawl Space,Company C,36972,234402,29
Residential,1306,3,10,2,Wood,11,Gabled,Basement,Company D,12853,415239,15
Industrial,820,9,5,3,Wood,13,Gabled,Crawl Space,Company D,19225,362303,24
Industrial,2199,4,12,4,Tile,11,Pitched,Slab,Company B,13594,306989,8
Commercial,4001,4,14,4,Wood,11,Pitched,Basement,Company A,39791,416793,33
Residential,3261,3,9,4,Wood,10,Pitched,Slab,Company C,15217,375877,27
Residential,4478,8,3,4,Wood,10,Gabled,Crawl Space,Company C,12972,247428,19
Industrial,1136,9,6,3,Wood,11,Gabled,Crawl Space,Company B,20598,283769,20
Industrial,2467,1,11,1,Carpet,9,Flat,Basement,Company D,25215,294743,7
Residential,4376,2,12,1,Carpet,8,Gabled,Basement,Company D,22030,382194,21
Residential,1709,1,11,4,Wood,11,Pitched,Basement,Company A,21710,478954,36
Residential,1075,4,12,1,Wood,9,Flat,Crawl Space,Company B,48764,141586,35
Residential,1691,7,7,3,Carpet,9,Gabled,Basement,Company C,16827,178959,9
Residential,812,7,5,1,Tile,12,Flat,Slab,Company A,42301,200491,32
Residential,4857,6,12,1,Carpet,13,Gabled,Basement,Company A,34733,327870,34
Commercial,3825,5,8,3,Wood,8,Gabled,Crawl Space,Company B,42438,164219,36
Residential,1773,4,10,1,Wood,11,Gabled,Slab,Company A,11133,461742,35
Industrial,4770,8,6,4,Wood,14,Pitched,Slab,Company C,17282,125190,10
Commercial,2208,7,12,4,Carpet,8,Gabled,Basement,Company C,18687,202815,29
Residential,2743,1,6,3,Wood,11,Pitched,Crawl Space,Company C,16977,251304,19
Industrial,3088,6,13,4,Carpet,14,Flat,Crawl Space,Company D,38407,334547,9
Commercial,1346,2,7,4,Tile,13,Gabled,Basement,Company A,19507,180466,32
Industrial,2018,4,8,4,Wood,8,Pitched,Crawl Space,Company A,22316,204383,19
Residential,2220,5,12,4,Wood,8,Pitched,Basement,Company C,30919,210423,10
Residential,2254,8,13,4,Tile,9,Flat,Crawl Space,Company D,49278,410856,18
Residential,4177,6,2,1,Carpet,14,Flat,Slab,Company B,23304,319275,25
Residential,3572,2,7,3,Wood,8,Flat,Basement,Company C,38199,354572,33
Commercial,4898,5,9,2,Wood,8,Gabled,Crawl Space,Company B,13020,242468,24
Commercial,3538,5,13,3,Wood,13,Gabled,Crawl Space,Company C,33836,112296,11
Industrial,4547,6,1,3,Wood,14,Flat,Basement,Company B,30947,352658,14
Residential,2642,1,13,3,Tile,11,Gabled,Slab,Company D,43960,158437,27
Industrial,1546,8,12,1,Carpet,9,Pitched,Crawl Space,Company B,41150,429959,28
Commercial,3616,3,1,3,Tile,8,Pitched,Basement,Company A,10158,282129,34
Residential,1671,5,7,3,Carpet,9,Gabled,Slab,Company B,30793,179741,13
Residential,1294,7,13,1,Tile,9,Gabled,Crawl Space,Company D,43337,226348,6
Commercial,4244,3,14,4,Tile,10,Pitched,Crawl Space,Company A,36811,313839,12
Commercial,1875,6,5,2,Carpet,11,Pitched,Crawl Space,Company C,49801,245875,29
Commercial,4794,5,1,4,Wood,10,Gabled,Basement,Company B,20344,364821,34
Commercial,845,7,14,3,Wood,9,Gabled,Basement,Company D,31215,435530,34
Commercial,3856,3,13,4,Tile,13,Flat,Basement,Company D,5273,448496,34
Residential,2857,2,1,1,Tile,13,Flat,Slab,Company B,7728,109909,17
Commercial,1463,4,2,2,Tile,8,Gabled,Crawl Space,Company D,22249,124381,12
Residential,2829,3,11,4,Wood,14,Pitched,Crawl Space,Company C,48510,426921,22
Residential,3496,4,10,3,Carpet,11,Gabled,Slab,Company D,14382,365373,23
Commercial,1439,7,9,2,Wood,12,Pitched,Slab,Company C,37409,160088,21
Commercial,3463,5,12,3,Tile,11,Gabled,Basement,Company B,14674,239463,9
Residential,3545,4,12,4,Wood,10,Gabled,Crawl Space,Company D,32239,487378,10
Commercial,3395,6,3,4,Wood,14,Pitched,Slab,Company B,22922,423135,14
Commercial,4227,7,9,3,Wood,11,Pitched,Slab,Company A,9784,291204,14
Commercial,1194,5,6,2,Carpet,8,Gabled,Slab,Company A,23575,278206,32
Industrial,4397,7,13,2,Tile,11,Pitched,Basement,Company B,17770,179471,17
Residential,3132,3,10,2,Wood,12,Pitched,Basement,Company B,30722,472224,7
Industrial,1129,7,6,4,Wood,13,Gabled,Crawl Space,Company C,19357,181337,28
Commercial,2897,3,7,4,Tile,14,Flat,Basement,Company C,25064,295286,8
Industrial,1572,6,10,3,Wood,10,Flat,Crawl Space,Company A,21716,156114,13
Commercial,2445,8,11,3,Wood,10,Pitched,Basement,Company D,28600,486396,14
Industrial,2532,6,8,1,Wood,9,Gabled,Basement,Company A,10628,407605,16
Commercial,2587,3,11,1,Wood,14,Pitched,Basement,Company D,8307,385229,18
